gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,TotalEngagement
0,2,2,2,0,1,0,0,1,89,92,40,28,1,1,1,0,249
0,2,2,2,0,1,0,1,1,79,93,49,23,1,1,1,0,244
1,3,3,2,0,1,0,0,1,15,90,21,97,1,1,1,2,223
1,3,3,2,0,1,0,1,1,20,77,31,88,1,1,1,2,216
1,3,9,2,0,1,0,0,1,4,10,11,7,0,1,0,1,32
1,3,9,2,0,1,0,1,1,5,0,1,8,0,1,0,1,14
0,3,3,1,4,0,1,0,1,88,81,50,10,1,1,0,2,229
0,3,3,1,4,0,1,1,1,90,88,54,12,1,1,0,2,244
0,2,2,1,4,0,1,0,1,86,98,50,20,1,1,1,0,254
0,2,2,1,4,0,1,1,1,90,90,57,22,1,1,1,0,259
1,3,8,1,4,0,1,0,1,78,91,50,40,1,1,1,0,259
1,3,8,1,4,0,1,1,1,70,98,54,72,1,1,1,0,294
1,3,3,1,4,0,1,0,0,80,80,46,61,1,0,1,2,267
1,3,3,1,4,0,1,1,0,85,82,59,63,1,0,1,2,289
1,8,8,1,4,0,1,0,0,88,90,86,81,1,1,1,0,345
1,8,8,1,4,0,1,1,0,89,92,89,83,1,1,1,0,353
1,3,3,1,4,0,1,0,0,39,71,40,26,0,1,0,2,176
1,3,3,1,4,0,1,1,0,35,80,34,22,0,1,0,2,171
1,3,3,1,4,0,1,0,0,76,81,80,86,0,1,1,0,323
1,3,3,1,4,0,1,1,0,65,89,64,82,0,1,1,0,300
0,10,10,1,4,0,1,0,1,96,95,70,70,1,1,1,0,331
0,10,10,1,4,0,1,1,1,80,91,87,72,1,1,1,0,330
1,3,3,1,4,0,1,0,1,2,9,10,1,0,0,0,1,22
1,3,3,1,4,0,1,1,1,3,8,19,3,0,0,0,1,33
1,3,3,1,4,1,1,0,0,50,79,10,31,0,0,1,2,170
1,3,3,1,4,1,1,1,0,53,88,9,33,0,0,1,2,183
0,3,3,1,4,1,1,0,1,70,89,12,21,0,1,1,0,192
0,3,3,1,4,1,1,1,1,59,90,19,43,0,1,1,0,211
1,8,3,1,4,1,1,0,0,78,80,66,51,1,1,1,2,275
1,8,3,1,4,1,1,1,0,79,72,79,83,1,1,1,2,313
0,6,6,1,4,1,1,0,1,10,9,2,1,0,1,0,1,22
0,6,6,1,4,1,1,1,1,9,7,9,3,0,1,0,1,28
1,2,2,1,4,1,1,0,0,98,90,86,71,1,1,1,0,345
1,2,2,1,4,1,1,1,0,89,92,89,83,1,1,1,0,353
1,8,3,1,4,1,1,0,0,88,90,76,81,1,1,1,0,335
1,8,3,1,4,1,1,1,0,99,96,89,84,1,1,1,0,368
0,3,3,1,5,0,2,0,1,82,89,22,31,1,1,1,0,224
0,3,3,1,5,0,2,1,1,84,92,29,43,1,1,1,0,248
0,3,3,1,5,0,5,0,1,70,69,46,45,1,1,0,2,230
0,3,3,1,5,0,5,1,1,74,62,49,43,1,1,0,2,228
0,3,3,1,5,0,5,0,1,90,79,76,79,1,1,1,0,324
0,3,3,1,5,0,5,1,1,84,77,79,68,1,1,1,0,308
1,3,3,1,5,0,2,0,1,80,80,62,11,1,1,0,2,233
1,3,3,1,5,0,2,1,1,81,82,69,13,1,1,0,2,245
1,3,9,1,5,0,2,0,0,10,0,2,41,0,0,0,1,53
1,3,9,1,5,0,2,1,0,11,2,9,49,0,0,0,1,71
1,3,9,1,5,0,5,0,0,85,89,22,61,0,0,1,0,257
1,3,9,1,5,0,5,1,0,80,89,23,68,0,0,1,0,260
1,3,9,1,5,0,5,0,0,95,87,62,81,0,0,1,2,325
1,3,9,1,5,0,5,1,0,87,79,73,98,0,0,1,2,337
1,3,3,1,5,0,2,0,1,85,87,72,10,1,1,0,2,254
1,3,3,1,5,0,2,1,1,79,88,79,20,1,1,0,2,266
1,3,3,1,5,0,5,0,1,80,81,71,30,1,1,1,2,262
1,3,3,1,5,0,5,1,1,70,83,70,23,1,1,1,2,246
1,3,3,1,5,0,2,0,1,80,82,76,19,1,1,1,2,257
1,3,3,1,5,0,2,1,1,70,82,75,29,1,1,1,2,256
1,3,3,1,5,0,5,0,1,89,87,86,15,1,1,1,2,277
1,3,3,1,5,0,5,1,1,90,86,85,10,1,1,1,2,271
1,3,3,1,5,0,6,0,1,69,77,76,75,1,1,0,2,297
1,3,3,1,5,0,6,1,1,70,76,65,70,1,1,0,2,281
1,3,3,1,5,0,2,0,1,75,72,64,39,1,1,0,1,250
1,3,3,1,5,0,2,1,1,72,76,66,40,1,1,0,1,254
1,3,3,1,5,0,5,0,1,77,82,74,79,1,1,1,2,312
1,3,3,1,5,0,5,1,1,71,84,67,80,1,1,1,2,302
1,3,3,1,5,0,6,0,1,87,92,74,89,1,1,1,0,342
1,3,3,1,5,0,6,1,1,81,84,77,85,1,1,1,0,327
0,3,3,1,5,0,2,0,0,15,97,22,10,1,1,1,0,144
0,3,3,1,5,0,2,1,0,19,98,20,2,1,1,1,0,139
0,3,3,1,5,0,5,0,0,25,82,52,20,1,1,0,2,179
0,3,3,1,5,0,5,1,0,29,78,40,12,1,1,0,2,159
0,3,3,1,5,0,6,0,0,45,87,57,80,1,1,1,2,269
0,3,3,1,5,0,6,1,0,39,88,43,72,1,1,1,2,242
0,3,3,1,5,0,2,0,0,85,90,52,30,1,1,1,0,257
0,3,3,1,5,0,2,1,0,79,91,49,22,1,1,1,0,241
1,2,2,1,5,0,2,0,0,90,91,80,81,1,1,1,0,342
1,2,2,1,5,0,2,1,0,80,90,80,83,1,1,1,0,333
1,2,2,1,5,0,5,0,0,80,83,82,71,1,1,0,2,316
1,2,2,1,5,0,5,1,0,71,81,83,72,1,1,0,2,307
1,2,2,1,5,0,6,0,0,72,87,72,89,1,1,0,2,320
1,2,2,1,5,0,6,1,0,69,77,83,92,1,1,0,2,321
0,3,3,1,5,0,2,0,1,85,99,42,90,1,1,1,0,316
0,3,3,1,5,0,2,1,1,89,96,45,92,1,1,1,0,322
0,3,3,1,5,0,5,0,1,80,82,64,58,1,1,1,0,284
0,3,3,1,5,0,5,1,1,87,93,63,60,1,1,1,0,303
0,3,3,1,5,0,2,0,0,15,9,14,80,0,0,0,1,118
0,3,3,1,5,0,2,1,0,9,6,15,85,0,0,0,1,115
1,8,3,1,5,0,6,0,0,81,86,86,41,1,1,1,2,294
1,8,3,1,5,0,6,1,0,78,82,78,53,1,1,1,2,291
1,8,8,1,5,0,5,0,0,80,87,74,68,1,1,1,2,309
1,8,8,1,5,0,5,1,0,85,88,79,70,1,1,1,2,322
0,3,3,1,5,0,2,0,0,2,7,4,8,0,0,0,1,21
0,3,3,1,5,0,2,1,0,5,4,5,8,0,0,0,1,22
0,3,3,1,5,0,5,0,0,50,77,14,28,0,0,1,2,169
0,3,3,1,5,0,5,1,0,55,74,25,29,0,0,1,2,183
0,3,3,1,5,0,6,0,0,30,17,14,57,0,0,0,1,118
0,3,3,1,5,0,6,1,0,35,14,23,62,0,0,0,1,134
